channel,path,source,batch,plate,well,site,col,field_id,plane_id,row
Brightfield_L,s3://cellpainting-gallery/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/r01c01f01p01-ch7sk1fk1fl1.tiff,source_4,2021_04_26_Batch1,BR00117035,A01,1,1,1,1,1
Brightfield_H,s3://cellpainting-gallery/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/r01c01f01p01-ch6sk1fk1fl1.tiff,source_4,2021_04_26_Batch1,BR00117035,A01,1,1,1,1,1
Brightfield,s3://cellpainting-gallery/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/r01c01f01p01-ch8sk1fk1fl1.tiff,source_4,2021_04_26_Batch1,BR00117035,A01,1,1,1,1,1
RNA,s3://cellpainting-gallery/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/r01c01f01p01-ch3sk1fk1fl1.tiff,source_4,2021_04_26_Batch1,BR00117035,A01,1,1,1,1,1
Mito,s3://cellpainting-gallery/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/r01c01f01p01-ch1sk1fk1fl1.tiff,source_4,2021_04_26_Batch1,BR00117035,A01,1,1,1,1,1
ER,s3://cellpainting-gallery/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/r01c01f01p01-ch4sk1fk1fl1.tiff,source_4,2021_04_26_Batch1,BR00117035,A01,1,1,1,1,1
DNA,s3://cellpainting-gallery/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/r01c01f01p01-ch5sk1fk1fl1.tiff,source_4,2021_04_26_Batch1,BR00117035,A01,1,1,1,1,1
AGP,s3://cellpainting-gallery/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/r01c01f01p01-ch2sk1fk1fl1.tiff,source_4,2021_04_26_Batch1,BR00117035,A01,1,1,1,1,1
Brightfield_L,s3://cellpainting-gallery/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/r01c01f02p01-ch7sk1fk1fl1.tiff,source_4,2021_04_26_Batch1,BR00117035,A01,2,1,2,1,1
Brightfield_H,s3://cellpainting-gallery/cpg0016-jump/source_4/images/2021_04_26_Batch1/images/BR00117035__2021-05-02T16_02_51-Measurement1/Images/r01c01f02p01-ch6sk1fk1fl1.tiff,source_4,2021_04_26_Batch1,BR00117035,A01,2,1,2,1,1
